ID Transaksi,Produk,Jumlah Unit,Jumlah Lubang,Ukuran (m²),Jenis Material,Ketebalan (mm),Finishing,Kerumitan Desain,Metode Hitung,Harga Akhir (Rp)
1,Teralis,1,7,0,Hollow,1,Powder Coating,Menengah,Per Lubang,3578000
2,Pintu Gerbang,1,,11.2,Besi Siku,2.3,Tanpa Cat,Sederhana,Per Unit,16100000
3,Teralis,1,,4.3,Plat,1,Cat Duco,Sederhana,Per Lubang,100000
4,Pagar,1,,19.3,Besi Siku,2,Cat Semprot,Menengah,Per m²,32277140
5,Teralis,1,7,0,Aluminium,1.5,Cat Duco,Sederhana,Per Lubang,3239500
6,Pagar,1,,18.4,Besi Siku,1.6,Cat Duco,Kompleks,Per m²,33050900
7,Pagar,1,,23.2,Plat,1.2,Tanpa Cat,Sederhana,Per m²,19488000
8,Kanopi,1,,22.5,Hollow,0.8,Cat Duco,Menengah,Per m²,15675000
9,Pintu Gerbang,1,,15.6,Besi Siku,2,Cat Semprot,Sederhana,Per Unit,21707400
10,Pagar,1,,30.6,Hollow,0.8,Cat Duco,Menengah,Per m²,21264000
11,Pintu Gerbang,1,,7.6,Plat,1.2,Cat Semprot,Sederhana,Per Unit,7022400
12,Kanopi,1,,32.1,Plat,1.5,Cat Duco,Menengah,Per m²,45333960
13,Kanopi,1,,18.6,Hollow,0.9,Tanpa Cat,Sederhana,Per m²,10230000
14,Teralis,1,8,0,Hollow,0.9,Tanpa Cat,Sederhana,Per Lubang,2400000
15,Kanopi,1,,26.3,Plat,1.2,Cat Duco,Menengah,Per m²,30636960
16,Pagar,1,,22.8,Hollow,1.2,Tanpa Cat,Menengah,Per m²,19202000
17,Pagar,1,,22.3,Plat,1,Tanpa Cat,Menengah,Per m²,19317200
18,Pagar,1,,11.8,Plat,1.2,Cat Semprot,Sederhana,Per m²,10903200
19,Teralis,1,8,0,Aluminium,1.2,Cat Duco,Sederhana,Per Lubang,3688000
20,Pintu Gerbang,1,,18.6,Hollow,1.2,Cat Semprot,Sederhana,Per Unit,14322000
21,Kanopi,1,,17.1,Hollow,0.9,Cat Semprot,Menengah,Per m²,12464600
22,Pintu Gerbang,1,,14.2,Besi Siku,2.3,Cat Semprot,Menengah,Per Unit,26994500
23,Kanopi,1,,29.8,Hollow,0.8,Cat Semprot,Sederhana,Per m²,16390000
24,Pagar,1,,37.6,Hollow,0.9,Cat Semprot,Sederhana,Per m²,22748000
